main plan id;year;month;date;premiums;payment mode
5ef1871843d8da6ca1b2821a;2022;6;2022-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2023;6;2023-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2024;6;2024-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2025;6;2025-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2026;6;2026-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2027;6;2027-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2028;6;2028-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2029;6;2029-06-23;1500.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2038;12;2038-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2037;12;2037-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2036;12;2036-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2035;12;2035-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2034;12;2034-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2033;12;2033-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2032;12;2032-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2031;12;2031-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2030;12;2030-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2029;12;2029-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2028;12;2028-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2027;12;2027-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2026;12;2026-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2025;12;2025-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2024;12;2024-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2023;12;2023-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2022;12;2022-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2021;12;2021-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2020;12;2020-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2019;12;2019-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2018;12;2018-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2017;12;2017-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2016;12;2016-12-31;4321.0;Cash ( GIRO )
586c9afd73706155e28e3e9d;2015;12;2015-12-31;4321.0;Cash ( GIRO )
586c9b9f73706155e28e3ea5;2012;4;2012-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2013;4;2013-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2014;4;2014-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2015;4;2015-04-01;3210.0;Cash ( Credit Card )
